"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Для авторизации на нашем сайте, используйте эти данные во время заказа или на странице <a href=""%customer_url"">Моя учётная запись</a>:"
Email:,Email:
Password:,Пароль:
"Password you set when creating account","Пароль вы указывали во время создания учётной записи"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Забыли пароль? Нажмите <a href=""%reset_url"">сюда</a> для восстановления."
"When you sign in to your account, you will be able to:","Когда вы войдёте в свою учётную запись, вы сможете:"
"Quick Checkout","Быстрое оформление заказа"
"Proceed through checkout faster","Оформлять заказы быстрее, используя данные, введённые во время предыдущих посещений сайта"
"Order Status","Статус заказа"
"Check the status of orders","Проверить статус заказов"
"Manage Addresses","Управление адресами"
"Store alternative addresses","Сохранять дополнительные адреса"
"For shipping to multiple family members and friends","Для отправки нескольким родственникам или друзьям"
"Order History","История заказа"
"View past orders","Просматривать историю заказов"
"About Us","О Нас"
"Customer Service","Поддержка клиентов"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Время работы:<br /><span class=""no-link"">%store_hours</span>."
